QualityOfLifeKey,"Unemployment, male (% of male labor force)","Unemployment, female (% of female labor force)","People using at least basic drinking water services, rural (% of rural population)","People using at least basic drinking water services, urban (% of urban population)","People using at least basic sanitation services, rural (% of rural population)","People using at least basic sanitation services, urban  (% of urban population)","People using safely managed drinking water services, rural (% of rural population)","People using safely managed drinking water services, urban (% of urban population)","People using safely managed sanitation services, rural (% of rural population)","People using safely managed sanitation services, urban  (% of urban population)","People practicing open defecation, rural (% of rural population)","People practicing open defecation, urban (% of urban population)",Maternal leave benefits (% of wages paid in covered period),Pregnant women receiving prenatal care (%)
2102,0.620000005,0.620000005,96.56837368,99.18169167,96.12105187,94.4558896,,,19.97211072,25.90254175,0.789078948,0,,
2103,0.646000028,0.675999999,97.03049206,99.2892701,96.37473409,94.92152088,,,20.19673174,26.26158284,0.689098869,0,100,
2104,0.621999979,0.531000018,97.49266555,99.39680132,96.62874771,95.38741587,,,20.42183221,26.62282709,0.589118789,0,,98.1
2105,0.259000003,0.238999993,97.95489416,99.50428531,96.88309274,95.85357457,,,20.64741213,26.98627449,0.48913871,0,100,98.1
2106,0.593999982,0.56400001,98.41717788,99.61172207,97.13776918,96.31999699,,,20.87347149,27.35192504,0,0,,
2107,0.591000021,0.611000001,98.87951671,99.67553684,97.39277702,96.78668311,,,21.10001031,27.71977874,0,0,100,
2108,0.671999991,0.712000012,99.11820073,99.79412037,97.64488525,97.25363294,,,21.32553698,28.08983559,0,0,,98.1
2109,0.82099998,0.841000021,99.76420628,99.77542232,97.85876057,97.72084648,,,21.53373998,28.46209559,0,0,100,
2110,0.787999988,0.748000026,99.91632723,99.78056662,98.0622407,98.18832372,,,21.73747053,28.83655874,0,0,,
2111,0.70599997,0.736000001,100,99.93062644,98.17837508,98.65606468,,,21.90120459,29.21322504,0,0,,98.6
2112,1.108999968,1.088999987,100,100,98.29450946,99.10845005,,,22.06526511,29.58435901,0,0,,
2113,5.065999985,5.096000195,95.51131593,99.69304221,99.9963302,99.85302032,,96.41144911,,96.58948794,0,0,,
2114,4.614999771,4.625,95.51131593,99.69304221,99.9963302,99.85302032,,96.41144911,,96.65729106,0,0,,
2115,4.724999905,4.495999813,95.51131593,99.69304221,99.9963302,99.85302032,,96.41144911,,96.72509419,0,0,,
2116,6.092999935,5.414000034,95.51131593,99.69304221,99.9963302,99.85302032,,96.41144911,,96.79289731,0,0,,
2117,10.27600002,8.059000015,95.51131593,99.69304221,99.9963302,99.85302032,,96.41144911,,96.86070043,0,0,,
2118,10.50800037,8.609999657,95.88944969,99.71441514,99.90014735,99.85138983,,96.50727218,,96.93549918,0,0,,
2119,9.37100029,8.461000443,96.26758346,99.73578807,99.8039645,99.84975935,,96.60312747,,97.01050911,0,0,,
2120,8.227000237,7.887000084,96.64571722,99.75716101,99.70778165,99.84812887,,96.69901497,,97.08573033,0,0,,
2121,7.627999783,7.068999767,97.02385099,99.77853394,99.61159879,99.84649839,,96.79493469,,97.16116295,0,0,,
2122,6.262000084,6.061999798,97.40198475,99.79990687,99.51541594,99.84486791,,96.89088663,,97.23680707,0,0,,
2123,5.367000103,5.177999973,97.78011851,99.82127981,99.41923309,99.84323742,,96.98687079,,97.24437595,0,0,,
2124,4.93900013,4.789000034,98.15825228,99.84265274,99.32305024,99.84160694,,97.08288716,,97.25199505,0,0,,
2125,4.40199995,4.311999798,98.53638604,99.86402567,99.22686738,99.83997646,,97.17893575,,97.25966438,0,0,,
2126,3.950999975,3.84100008,98.91451981,99.8853986,99.13068453,99.83834598,,97.27501656,,97.26738394,0,0,,
2127,3.720999956,3.611000061,99.29265357,99.90677154,99.03450168,99.8367155,,97.37112958,,97.27515372,0,0,,
2128,7.796000004,8.345000267,99.67078734,99.92814447,98.93831882,99.83508502,,97.46727482,,97.28297372,0,0,,
2129,1.937000036,2.263000011,80.66850589,95.75177456,53.28333749,83.91870783,,,,,16.20538415,3.921709448,,
2130,2.052000046,2.122999907,81.63401849,95.91100173,55.41055218,84.79265525,,,,,15.08525044,3.687297378,,90.8
2131,2.121999979,1.932000041,82.60040439,96.0702209,57.53868785,85.67020161,,,,,13.96511673,3.452885308,,
2132,2.049999952,1.794999957,83.5676636,96.22943209,59.66774448,86.55134691,,,,,12.84498302,3.218473238,,
2133,1.889000058,1.578999996,84.5357961,96.38863529,61.7977221,87.43609115,,,,,11.72484931,2.984061168,100,
2134,1.143000007,1.074000001,85.50480191,96.5478305,63.92862068,88.32443433,,,,,10.6047156,2.749649098,,
2135,1.090999961,0.901000023,86.47468102,96.70701772,66.06044024,89.21637645,,,,,9.484581886,2.515237028,100,93.7
2136,1.121000051,0.930999994,87.44543343,96.86619695,68.19318077,90.11191751,,,,,8.364448176,2.280824958,,
2137,1.483999968,1.143000007,88.41705915,97.0253682,70.32684228,91.01105751,,,,,7.244314465,2.046412889,100,
2138,1.399000049,1.108999968,89.8967739,97.52238755,72.46142476,91.91379646,,,,,6.124180755,1.812000819,,95.8
2139,1.978999972,1.708999991,90.83306799,98.21274352,74.59692821,92.82013434,,,,,5.004047045,1.577588749,100,
2140,1.988999963,1.699000001,91.76936208,98.53001697,76.73335264,93.73007117,,,,,3.883913334,1.343176679,,
2141,2.02699995,1.697999954,92.70565617,98.69327273,78.85357197,94.38380614,,,,,3.883913334,1.343176679,100,
2142,1.277999997,1.029000044,93.64195026,98.85652849,80.9737913,95.03754112,,,,,3.883913334,1.343176679,,
2143,2.068000078,2.007999897,94.57824435,99.01978425,83.09401062,95.6912761,,,,,3.883913334,1.343176679,,
2144,2.002000093,2.819000006,95.51453844,99.18304001,85.21422995,96.01296413,,,,,3.883913334,1.338547506,,
