HealthKey,Capital health expenditure (% of GDP),Current health expenditure per capita (current US$),Domestic general government health expenditure (% of current health expenditure),Domestic private health expenditure (% of current health expenditure),External health expenditure (% of current health expenditure),Out-of-pocket expenditure (% of current health expenditure),UHC service coverage index,"Immunization, BCG (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, Hib3 (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Immunization, Pol3 (% of one-year-old children)","Hospital beds (per 1,000 people)","Nurses and midwives (per 1,000 people)","Physicians (per 1,000 people)",Number of infant deaths,"Stillbirth rate (per 1,000 total births)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)",Prevalence of undernourishment (% of population),Prevalence of overweight (% of adults)
4042,0.43591252,5189.014648,70.56432343,29.43567657,0,14.59731197,,,91,55,91,90,91,2.67,9.7475,2.4961,1820,2.882468529,83.9,79.8,2.5,63.2
4043,0.45552984,4637.211426,70.62810516,29.37189293,0,14.61075115,89,,91,69,91,89,91,2.62,9.8188,2.5388,1799,2.837948449,84,79.9,2.5,63.7
4044,0.42354,4629.375,69.65316772,30.346838,0,15.47061157,,,91,70,91,89,91,2.6,9.9194,2.3105,1777,2.810181019,84,79.9,2.5,64.1
4045,0.38220248,4865.070801,69.79706573,30.20293427,0,15.28027534,89,,91,71,91,90,91,2.53,9.9491,2.6102,1757,2.811976188,84,79.9,2.5,
4046,0.38234833,5018.711426,70.16950989,29.83049202,0,14.98915863,,,91,71,91,90,91,2.55,9.9874,2.4251,1736,2.795347587,84.2,80,2.5,
4047,0.39864108,5048.372559,70.16747284,29.83252716,0,14.91467953,89,,91,74,91,90,91,2.52,11.812,2.4425,1715,2.766615649,84.2,80,2.5,
4048,,,,,,,,,,,,,,,,,1692,,,,,
4049,0.34671679,207.1589966,71.82036591,27.22987747,0.9497568,16.40795898,64,94,93,93,93,96,93,,,1.4146,15136,8.913018404,77.43,71.085,11.2,52.7
4050,0.3804234,237.0175171,72.08506775,27.20326424,0.7116695,17.93336868,,96,93,93,93,95,94,1,,1.4521,14425,8.806335259,77.63,71.354,11.4,53.3
4051,0.51886499,305.9917908,70.65232086,28.88030434,0.46737179,19.24852371,,93,93,93,93,93,93,1,,1.494,13734,8.706092345,77.825,71.621,11,53.9
4052,0.59454489,374.4269714,69.36096191,30.57853508,0.06050031,20.85273552,,93,92,92,92,95,92,,,1.545,13083,8.641738392,78.019,71.887,11.3,54.5
